axis,value,term,sum,state
house,0.864925,60,864925,MI
major_purchase,1,60,2515925,MI
medical,1,60,1000300,MI
moving,0.627425,60,627425,MI
other,1,60,6073250,MI
renewable_energy,0.08045,60,80450,MI
small_business,1,60,1542225,MI
vacation,0.627075,60,627075,MI
wedding,0.137475,60,137475,MI
car,1,36,1113500,MN
credit_card,1,36,36431975,MN
debt_consolidation,1,36,81312425,MN
educational,0.090075,36,90075,MN
home_improvement,1,36,7554025,MN
house,0.5377,36,537700,MN
major_purchase,1,36,2345150,MN
medical,1,36,1221900,MN
moving,0.62365,36,623650,MN
other,1,36,5598900,MN
renewable_energy,0.08435,36,84350,MN
small_business,1,36,1443925,MN
vacation,0.7684,36,768400,MN
wedding,0.15635,36,156350,MN
car,0.877,60,877000,MN
credit_card,1,60,26428850,MN
debt_consolidation,1,60,55550325,MN
home_improvement,1,60,4985000,MN
house,0.287375,60,287375,MN
major_purchase,1,60,1481575,MN
medical,1,60,1282775,MN
moving,0.325175,60,325175,MN
other,1,60,4060750,MN
renewable_energy,0.045,60,45000,MN
small_business,0.804725,60,804725,MN
vacation,0.384425,60,384425,MN
wedding,0.138325,60,138325,MN
car,1,36,1464600,MO
credit_card,1,36,30031550,MO
debt_consolidation,1,36,73219575,MO
educational,0.038,36,38000,MO
home_improvement,1,36,6464925,MO
house,0.5094,36,509400,MO
major_purchase,1,36,2066325,MO
medical,1,36,1122500,MO
moving,0.488825,36,488825,MO
other,1,36,5236475,MO
renewable_energy,0.04755,36,47550,MO
small_business,1,36,1424075,MO
vacation,0.42385,36,423850,MO
wedding,0.2415,36,241500,MO
car,0.966325,60,966325,MO
credit_card,1,60,22585600,MO
debt_consolidation,1,60,51423875,MO
educational,0.0492,60,49200,MO
home_improvement,1,60,4732300,MO
house,0.24795,60,247950,MO
major_purchase,1,60,1696525,MO
medical,0.783425,60,783425,MO
moving,0.374625,60,374625,MO
other,1,60,3205925,MO
renewable_energy,0.066775,60,66775,MO
small_business,0.986725,60,986725,MO
vacation,0.276425,60,276425,MO
wedding,0.094,60,94000,MO
car,0.19215,36,192150,MS
credit_card,1,36,7045700,MS
debt_consolidation,1,36,21355750,MS
home_improvement,1,36,2237950,MS
house,0.13115,36,131150,MS
major_purchase,0.6223,36,622300,MS
medical,0.303825,36,303825,MS
moving,0.151275,36,151275,MS
other,1,36,1104825,MS
renewable_energy,0.0242,36,24200,MS
small_business,0.17435,36,174350,MS
vacation,0.07735,36,77350,MS
wedding,0.0138,36,13800,MS
car,0.24225,60,242250,MS
credit_card,1,60,4705150,MS
debt_consolidation,1,60,14120275,MS
educational,0.0795,60,79500,MS
home_improvement,1,60,1109575,MS
house,0.0824,60,82400,MS
major_purchase,0.42575,60,425750,MS
medical,0.1528,60,152800,MS
moving,0.051,60,51000,MS
other,0.8377,60,837700,MS
renewable_energy,0.021,60,21000,MS
small_business,0.1414,60,141400,MS
vacation,0.1112,60,111200,MS
car,0.2384,36,238400,MT
credit_card,1,36,5765525,MT
debt_consolidation,1,36,13253325,MT
educational,0.035,36,35000,MT
home_improvement,1,36,1194375,MT
house,0.0664,36,66400,MT
major_purchase,0.540325,36,540325,MT
medical,0.296775,36,296775,MT
moving,0.110525,36,110525,MT
other,0.88525,36,885250,MT
small_business,0.248325,36,248325,MT
vacation,0.0638,36,63800,MT
wedding,0.0175,36,17500,MT
car,0.0899,60,89900,MT
credit_card,1,60,3957200,MT
debt_consolidation,1,60,8697475,MT
educational,0.01775,60,17750,MT
home_improvement,0.724525,60,724525,MT
house,0.05115,60,51150,MT
major_purchase,0.14785,60,147850,MT
medical,0.135,60,135000,MT
moving,0.201,60,201000,MT
other,0.3585,60,358500,MT
small_business,0.30285,60,302850,MT
vacation,0.0672,60,67200,MT
car,1,36,2188675,NC
credit_card,1,36,45902475,NC
debt_consolidation,1,36,134710425,NC
educational,0.0346,36,34600,NC
home_improvement,1,36,13291900,NC
house,0.76115,36,761150,NC
major_purchase,1,36,4059900,NC
medical,1,36,2264925,NC
moving,0.988275,36,988275,NC
other,1,36,9116100,NC
renewable_energy,0.172075,36,172075,NC
small_business,1,36,2719925,NC
vacation,0.793475,36,793475,NC
wedding,0.387325,36,387325,NC
car,1,60,1623500,NC
credit_card,1,60,30905075,NC
debt_consolidation,1,60,90453775,NC
home_improvement,1,60,9719200,NC
house,0.587,60,587000,NC
major_purchase,1,60,2978225,NC
medical,1,60,1604150,NC
moving,0.63005,60,630050,NC
other,1,60,6290350,NC
renewable_energy,0.09855,60,98550,NC
small_business,1,60,1633400,NC
vacation,0.5338,60,533800,NC
wedding,0.430825,60,430825,NC
car,0.019925,36,19925,ND
credit_card,1,36,1410700,ND
debt_consolidation,1,36,2073475,ND
home_improvement,0.11415,36,114150,ND
house,0.028,36,28000,ND
major_purchase,0.0598,36,59800,ND
medical,0.0455,36,45500,ND
moving,0.0036,36,3600,ND
other,0.229325,36,229325,ND
renewable_energy,0.015,36,15000,ND
vacation,0.006025,36,6025,ND
credit_card,0.905425,60,905425,ND
debt_consolidation,1,60,1820300,ND
home_improvement,0.13985,60,139850,ND
medical,0.033,60,33000,ND
other,0.193625,60,193625,ND
renewable_energy,0.021,60,21000,ND
car,0.043,36,43000,NE
credit_card,1,36,3105775,NE
debt_consolidation,1,36,5745325,NE
home_improvement,0.447325,36,447325,NE
major_purchase,0.1315,36,131500,NE
medical,0.063875,36,63875,NE
moving,0.003,36,3000,NE
other,0.404,36,404000,NE
small_business,0.0521,36,52100,NE
vacation,0.074,36,74000,NE
car,0.035325,60,35325,NE
credit_card,1,60,1826500,NE
debt_consolidation,1,60,4258025,NE
home_improvement,0.211925,60,211925,NE
house,0.05,60,50000,NE
major_purchase,0.181975,60,181975,NE
medical,0.130725,60,130725,NE
moving,0.0116,60,11600,NE
other,0.346325,60,346325,NE
vacation,0.017975,60,17975,NE
car,0.37845,36,378450,NH
credit_card,1,36,9430625,NH
debt_consolidation,1,36,22772050,NH
home_improvement,1,36,2396775,NH
house,0.081525,36,81525,NH
major_purchase,0.675225,36,675225,NH
medical,0.20915,36,209150,NH
moving,0.173125,36,173125,NH
other,1,36,1455950,NH
renewable_energy,0.01,36,10000,NH
small_business,0.23745,36,237450,NH
vacation,0.180425,36,180425,NH
wedding,0.0282,36,28200,NH
car,0.1303,60,130300,NH
credit_card,1,60,5857050,NH
debt_consolidation,1,60,15846025,NH
educational,0.014,60,14000,NH
home_improvement,1,60,1660900,NH
house,0.06665,60,66650,NH
major_purchase,0.343025,60,343025,NH
medical,0.17065,60,170650,NH
moving,0.179025,60,179025,NH
other,1,60,1020650,NH
small_business,0.328625,60,328625,NH
vacation,0.0872,60,87200,NH
wedding,0.05655,60,56550,NH
car,1,36,3132725,NJ
credit_card,1,36,67306250,NJ
debt_consolidation,1,36,168797025,NJ
educational,0.17585,36,175850,NJ
home_improvement,1,36,16792875,NJ
house,1,36,1459125,NJ
major_purchase,1,36,5964675,NJ
medical,1,36,2654525,NJ
moving,1,36,1942025,NJ
other,1,36,15849775,NJ
renewable_energy,0.231075,36,231075,NJ
small_business,1,36,3426250,NJ
vacation,1,36,1518225,NJ
wedding,1,36,1349950,NJ
car,1,60,2415575,NJ
credit_card,1,60,44099275,NJ
debt_consolidation,1,60,115626800,NJ
educational,0.16525,60,165250,NJ
home_improvement,1,60,10958950,NJ
house,0.84255,60,842550,NJ
major_purchase,1,60,3536100,NJ
medical,1,60,1581975,NJ
moving,1,60,1898375,NJ
other,1,60,11395425,NJ
renewable_energy,0.1098,60,109800,NJ
small_business,1,60,2341700,NJ
vacation,1,60,1193250,NJ
wedding,1,60,1098400,NJ
car,0.446075,36,446075,NM
credit_card,1,36,9497050,NM
debt_consolidation,1,36,26071675,NM
educational,0.015125,36,15125,NM
home_improvement,1,36,2435225,NM
house,0.121125,36,121125,NM
major_purchase,0.703225,36,703225,NM
medical,0.399,36,399000,NM
moving,0.1023,36,102300,NM
other,1,36,1660650,NM
renewable_energy,0.01,36,10000,NM
small_business,0.263375,36,263375,NM
vacation,0.308825,36,308825,NM
wedding,0.0976,36,97600,NM
car,0.2553,60,255300,NM
credit_card,1,60,6577675,NM
